Tree,Node,Tree Level,Parent Node
CC_DEPARTMENT,241080,5,240000
CC_DEPARTMENT,240000,4,245000
CC_DEPARTMENT,245000,3,105000
CC_DEPARTMENT,121012,4,120000
CC_DEPARTMENT,120000,3,105000
CC_DEPARTMENT,112002,4,115000
CC_DEPARTMENT,111002,4,115000
CC_DEPARTMENT,115000,3,105000
CC_DEPARTMENT,171002,5,170000
CC_DEPARTMENT,170000,4,105000
CC_DEPARTMENT,102002,4,102000
CC_DEPARTMENT,102000,3,105000
CC_DEPARTMENT,101002,4,100000
CC_DEPARTMENT,100000,3,105000
CC_DEPARTMENT,105000,2,000000
CC_DEPARTMENT,000000,1,
CC_DEPARTMENT,500000,4,799000
CC_DEPARTMENT,751002,5,700000
CC_DEPARTMENT,721002,5,700000
CC_DEPARTMENT,700000,4,799000
CC_DEPARTMENT,781002,5,780000
CC_DEPARTMENT,761002,5,780000
CC_DEPARTMENT,741002,5,780000
CC_DEPARTMENT,780000,4,799000
CC_DEPARTMENT,422002,5,400000
CC_DEPARTMENT,421002,5,400000
CC_DEPARTMENT,443080,5,400000
CC_DEPARTMENT,443340,5,400000
CC_DEPARTMENT,400000,4,800000
CC_DEPARTMENT,261040,7,261991
CC_DEPARTMENT,261351,7,261991
CC_DEPARTMENT,261231,7,261991
CC_DEPARTMENT,261290,7,261991
CC_DEPARTMENT,261331,7,261991
CC_DEPARTMENT,261128,7,261991
CC_DEPARTMENT,261134,7,261991
CC_DEPARTMENT,261173,7,261991
CC_DEPARTMENT,261191,7,261991
CC_DEPARTMENT,261206,7,261991
CC_DEPARTMENT,261201,7,261991
CC_DEPARTMENT,261422,7,261991
CC_DEPARTMENT,261267,7,261991
CC_DEPARTMENT,261295,7,261991
CC_DEPARTMENT,261319,7,261991
CC_DEPARTMENT,261992,6,261000
CC_DEPARTMENT,261022,7,261992
CC_DEPARTMENT,261038,7,261992
CC_DEPARTMENT,261054,7,261992
CC_DEPARTMENT,261141,7,261992
CC_DEPARTMENT,261247,7,261992
CC_DEPARTMENT,261302,7,261992
CC_DEPARTMENT,261325,7,261992
CC_DEPARTMENT,261165,7,261992
CC_DEPARTMENT,261177,7,261992
CC_DEPARTMENT,261224,7,261992
CC_DEPARTMENT,261291,7,261992
CC_DEPARTMENT,261316,7,261992
CC_DEPARTMENT,261993,6,261000
CC_DEPARTMENT,261307,7,261993
CC_DEPARTMENT,261032,7,261993
CC_DEPARTMENT,261058,7,261993
CC_DEPARTMENT,261122,7,261993
CC_DEPARTMENT,261126,7,261993
CC_DEPARTMENT,261289,7,261993
CC_DEPARTMENT,261321,7,261993
CC_DEPARTMENT,261309,7,261993
CC_DEPARTMENT,261085,7,261993
CC_DEPARTMENT,261104,7,261993
CC_DEPARTMENT,261256,7,261993
CC_DEPARTMENT,261301,7,261993
CC_DEPARTMENT,261333,7,261993
CC_DEPARTMENT,261018,7,261993
CC_DEPARTMENT,261994,6,261000
CC_DEPARTMENT,261043,7,261994
CC_DEPARTMENT,261069,7,261994
CC_DEPARTMENT,261070,7,261994
CC_DEPARTMENT,261099,7,261994
CC_DEPARTMENT,261112,7,261994
CC_DEPARTMENT,261121,7,261994
CC_DEPARTMENT,261123,7,261994
CC_DEPARTMENT,261146,7,261994
CC_DEPARTMENT,261148,7,261994
CC_DEPARTMENT,261151,7,261994
CC_DEPARTMENT,261205,7,261994
CC_DEPARTMENT,261219,7,261994
CC_DEPARTMENT,261220,7,261994
CC_DEPARTMENT,261248,7,261994
CC_DEPARTMENT,261259,7,261994
CC_DEPARTMENT,261278,7,261994
CC_DEPARTMENT,261288,7,261994
CC_DEPARTMENT,261324,7,261994
CC_DEPARTMENT,261120,7,261994
CC_DEPARTMENT,261995,6,261000
CC_DEPARTMENT,261260,7,261995
CC_DEPARTMENT,261996,6,261000
CC_DEPARTMENT,261401,7,261996
CC_DEPARTMENT,261402,7,261996
CC_DEPARTMENT,261403,7,261996
CC_DEPARTMENT,261404,7,261996
CC_DEPARTMENT,261405,7,261996
CC_DEPARTMENT,261406,7,261996
